"line","word"
1,"usual"
1,"dont"
1,"feel"
1,"sympathi"
1,"make"
1,"feel"
1,"sad"
1,"real"
1,"sacrif"
1,"life"
1,"first"
1,"child"
2,"there"
2,"way"
2,"put"
2,"republican"
2,"lie"
2,"cheat"
2,"sold"
2,"soul"
2,"pass"
2,"cut"
2,"whose"
2,"purpos"
2,"toea"
3,"howev"
3,"conspiraci"
3,"crime"
3,"plus"
3,"trump"
3,"famili"
3,"member"
3,"will"
3,"charg"
3,"evas"
3,"money"
3,"launder"
3,"fraud"
3,"anea"
4,"billion"
4,"wealthi"
4,"heir"
4,"noth"
4,"sick"
4,"children"
4,"sound"
4,"like"
4,"caricatur"
4,"realiti"
4,"modern"
4,"goea"
5,"can"
5,"believ"
5,"liter"
5,"day"
5,"privat"
5,"equiti"
5,"firm"
5,"slip"
5,"sweet"
5,"break"
5,"last"
5,"minut"
5,"trumpea"
6,"norfolk"
6,"busi"
6,"news"
6,"great"
6,"yarmouth"
6,"boatyard"
6,"boost"
6,"rampd"
6,"claim"
7,"need"
7,"hit"
7,"whole"
7,"new"
7,"bracket"
8,"feel"
8,"like"
8,"one"
8,"take"
8,"serious"
8,"let"
8,"present"
8,"way"
8,"everyon"
8,"can"
8,"understandtheyer"
8,"tri"
8,"putea"
9,"right"
9,"go"
9,"sick"
9,"caus"
9,"imma"
9,"em"
9,"paper"
9,"edabdedb"
10,"work"
10,"hard"
10,"everi"
10,"year"
10,"doubl"
10,"sleepless"
10,"daysnight"
10,"yeah"
10,"iem"
10,"hype"
10,"time"
10,"want"
10,"money"
10,"backedabdedb"
10,"cash"
10,"outea"
11,"iev"
11,"wait"
11,"year"
11,"slayer"
11,"bowl"
12,"dont"
12,"deceiv"
12,"consequ"
12,"gop"
12,"plan"
12,"will"
12,"disastr"
12,"trump"
12,"senate"
12,"vote"
12,"dea"
13,"want"
13,"help"
13,"creat"
13,"job"
13,"wouldnt"
13,"give"
13,"break"
13,"people"
13,"like"
13,"id"
13,"give"
13,"low"
13,"interest"
13,"loan"
13,"anea"
14,"flint"
14,"doesnet"
14,"water"
14,"puerto"
14,"rico"
14,"doesnet"
14,"power"
14,"eccanet"
14,"afford"
14,"meal"
14,"wheel"
14,"sure"
14,"lete"
14,"give"
14,"millea"
15,"just"
15,"pass"
15,"fuck"
15,"plan"
15,"dont"
15,"think"
15,"coincid"
16,"leftist"
16,"trump"
16,"presid"
16,"didnet"
16,"destroy"
16,"america"
16,"instant"
16,"reduct"
16,"certain"
16,"wonet"
16,"either"
17,"quick"
17,"rant"
17,"estate"
17,"want"
17,"address"
17,"extraordinari"
17,"mendac"
17,"argument"
17,"fundament"
17,"rea"
18,"here"
18,"someth"
18,"make"
18,"monday"
18,"better"
18,"give"
18,"line"
18,"unlimit"
18,"lte"
18,"data"
18,"freeea"
19,"way"
19,"prosper"
19,"eu"
19,"canada"
19,"free"
19,"poverti"
19,"crime"
19,"social"
19,"suea"
20,"lol"
20,"senate"
20,"republican"
20,"accident"
20,"set"
20,"corpor"
20,"corpor"
20,"altern"
20,"minimum"
20,"maea"
21,"appar"
21,"donet"
21,"fund"
21,"program"
21,"help"
21,"people"
21,"give"
21,"huge"
21,"cut"
21,"alreadi"
21,"filthi"
21,"rich"
22,"god"
22,"love"
22,"world"
22,"sent"
22,"margin"
22,"rate"
22,"whosoev"
22,"render"
22,"unto"
22,"caesar"
22,"gode"
22,"everlea"
23,"ecth"
23,"senate"
23,"bill"
23,"giveaway"
23,"corpor"
23,"expens"
23,"american"
23,"people"
23,"includ"
23,"provis"
23,"buri"
23,"deepea"
24,"told"
24,"vote"
24,"edabdedbab"
24,"disastr"
24,"republican"
24,"plan"
24,"first"
24,"step"
24,"long"
24,"term"
24,"effort"
24,"cut"
24,"social"
24,"secur"
24,"andea"
25,"gop"
25,"actual"
25,"pass"
25,"new"
25,"plan"
25,"yes"
26,"dem"
26,"complain"
